from,to,confidence,note,candidate1,candidate2,candidate3
Hironori Yokobun,,none,解決不能（該当ページなし）,,,
Marina Kirigakure,,none,解決不能（該当ページなし）,,,
Matsueku,,none,解決不能（該当ページなし）,,,
Atsuzoko,,none,解決不能（該当ページなし）,,,
Harbinger,,anime_only,個別ページなし。List of Anime-only Yo-kai に記載,,,
Whisper (2040),Whisper 2040,high,記号または大小文字のみの差異,,,
Robonyan F-gata Cho Un,Robonyan F-gata Chou Un,high,綴り誤りの可能性 (類似度 0.98),Robonyan F-gata Chou Un,,
Kuruse Ikuto,,none,解決不能（該当ページなし）,,,
Ayumu Keima,,none,解決不能（該当ページなし）,,,
Sighborg S,,none,Sighborg Y は別個体。誤記と断定できない,Sighborg Y,,
Android Nakamura,,none,解決不能（該当ページなし）,,,
Dummkapp,Dummkap,high,綴り誤りの可能性 (類似度 0.93),Dummkap,,
Hyudroid,,none,解決不能（該当ページなし）,,,
Konbu-san (Shadowside),Konbu-san (Shadowside),high,空白文字の差異（U+00A0 等）,,,
Kyubi Jun Iku,Kyuubi Jun Iku,high,綴り誤りの可能性 (類似度 0.96),Kyuubi Jun Iku,Yami Kyuubi Jun Iku,Puni Kyuubi Jun Iku
Ogralus Ryo Fu,,none,解決不能（該当ページなし）,,,
Dismerelda,Dismarelda,high,綴り誤り（a/e）。同一妖怪と判断,Dismarelda,,
Happiere,Happierre,high,綴り誤りの可能性 (類似度 0.94),Happierre,,
UZApyon,,anime_only,個別ページなし。List of Anime-only Yo-kai に記載,,,
Hyubo,,none,解決不能（該当ページなし）,,,
Ito Asuri,,none,解決不能（該当ページなし）,,,
Uchida,,none,解決不能（該当ページなし）,,,
Nanjou,,none,解決不能（該当ページなし）,,,
Manami,,none,Mana は別人物の可能性。断定できない,Mana,,
Exorcist,,none,解決不能（該当ページなし）,,,
Old Lady Dreamer,,none,解決不能（該当ページなし）,,,
Ondo,,none,解決不能（該当ページなし）,,,
Madame Four-Eyes,,none,解決不能（該当ページなし）,,,
Regular Joe,,none,解決不能（該当ページなし）,,,
Sundae Boss,,none,解決不能（該当ページなし）,,,
Sundae President,,none,解決不能（該当ページなし）,,,
Blonde Lioness Yo-kai,,none,解決不能（該当ページなし）,,,
Redhead Lioness Yo-kai,,none,解決不能（該当ページなし）,,,
Granny Gun,,none,解決不能（該当ページなし）,,,
Pounce de Leon,,anime_only,個別ページなし。List of Anime-only Yo-kai に記載,,,
Sir Pouncalot,,anime_only,個別ページなし。List of Anime-only Yo-kai に記載,,,
Alfred,,anime_only,個別ページなし。List of Anime-only Yo-kai に記載,,,
Nyanta,,none,Nana は無関係。該当ページなし,Nana,,
Lady of the Rent,,none,解決不能（該当ページなし）,,,
Masuo Fudetome,,none,解決不能（該当ページなし）,,,
Android Tanaka,,anime_only,個別ページなし。List of Anime-only Yo-kai に記載,,,
Android Suzuki,,anime_only,個別ページなし。List of Anime-only Yo-kai に記載,,,
Android Satou,,none,解決不能（該当ページなし）,,,
Yuri Gera,,none,解決不能（該当ページなし）,,,
Kaito Hotei,Kaito Hotei,high,空白文字の差異（U+00A0 等）,,,
Masachika Mitsumatagi,,none,Nozuchika Mitsumatagi は別人物（同姓）。断定できない,Nozuchika Mitsumatagi,,
Mohihi Brothers,,none,解決不能（該当ページなし）,,,
Failain,Failian,high,綴り誤り。同一妖怪と判断,Failian,,
Koma Kaachan (Y-Aacademy),Koma Kaachan (Y-Academy),high,綴り誤りの可能性 (類似度 0.98),Koma Kaachan (Y-Academy),,
Hyoki,,none,解決不能（該当ページなし）,,,
Ongyoki,,none,解決不能（該当ページなし）,,,
Nathan Adams (Kuroi World),,none,解決不能（該当ページなし）,,,
Kuroi Ikemenken,,anime_only,個別ページなし。List of Anime-only Yo-kai に記載,,,
Kuroi Jinmenken,,anime_only,個別ページなし。List of Anime-only Yo-kai に記載,,,
Masako Tanaka,,none,解決不能（該当ページなし）,,,
Summoning Singers,,anime_only,個別ページなし。List of Anime-only Yo-kai に記載,,,
List of anime-only characters,,none,解決不能（該当ページなし）,,,
Miharu,,none,解決不能（該当ページなし）,,,
Kenji,,none,解決不能（該当ページなし）,,,
Satoshi,,none,Satochin は愛称形。別人物の可能性,Satochin,,
Ichiko Kuno,,none,解決不能（該当ページなし）,,,
Mataro's grandfather,,none,解決不能（該当ページなし）,,,
Annan,,none,解決不能（該当ページなし）,,,
Elze Shadowman,,none,解決不能（該当ページなし）,,,
T-Duse,T-Dus,high,綴り誤り。同一妖怪と判断,T-Dus,,
Susumu Goto,Susumu Gotou,high,綴り誤りの可能性 (類似度 0.96),Susumu Gotou,,
Gonintei,,none,解決不能（該当ページなし）,,,
Suguru's Mother,,none,解決不能（該当ページなし）,,,
Signition,Signiton,high,綴り誤りの可能性 (類似度 0.94),Signiton,,
Mikannyan Chuu Un,Mikannyan Chou Un,high,綴り誤りの可能性 (類似度 0.94),Mikannyan Chou Un,Suikanyan Chou Un,
Kiwinyan Chuu Un,Kiwinyan Chou Un,high,綴り誤りの可能性 (類似度 0.94),Kiwinyan Chou Un,,
Budounyan Chuu Un,Budounyan Chou Un,high,綴り誤りの可能性 (類似度 0.94),Budounyan Chou Un,,
Ichigonyan Chuu Un,Ichigonyan Chou Un,high,綴り誤りの可能性 (類似度 0.94),Ichigonyan Chou Un,Buchinyan Chou Un,
Suikanyan Chuu Un,Suikanyan Chou Un,high,綴り誤りの可能性 (類似度 0.94),Suikanyan Chou Un,Mikannyan Chou Un,Daiyanyan Chuu Un
Melonnyan Chuu Un,Melonnyan Chou Un,high,綴り誤りの可能性 (類似度 0.94),Melonnyan Chou Un,,
Ozma Enemy,,none,解決不能（該当ページなし）,,,
Roughraf,Roughraff,high,綴り誤りの可能性 (類似度 0.94),Roughraff,Roughgraff,
Arnold,,none,解決不能（該当ページなし）,,,
Grumpus,,none,Grumples は別妖怪。誤記と断定できない,Grumples,,
Shuter,,none,解決不能（該当ページなし）,,,
Meditatum,,none,解決不能（該当ページなし）,,,
Mrs. Archer,,none,解決不能（該当ページなし）,,,
